     2.11           OBSERVATION DATA    M (MIXED)           RINEX VERSION / TYPE
JPS2RIN v.2.0.112   Sergey Smirnov      20170626 120329 UTC PGM / RUN BY / DATE
Sergey Smirnov      Saint-Petersburg State University       OBSERVER / AGENCY
vost_0626n                                                  MARKER NAME
                    JAVAD                                   REC # / TYPE / VERS
  2765332.1835  1615597.8327  5497278.3855                  APPROX POSITION XYZ
-Unknown-           -Unknown-                               ANT # / TYPE
        0.0000        0.0000        0.0000                  ANTENNA: DELTA H/E/N
     1     1                                                WAVELENGTH FACT L1/2
     5    C1    P1    L1    D1    S1                        # / TYPES OF OBSERV
    30.000                                                  INTERVAL
  2017     6    26    11    23   30.0000000     GPS         TIME OF FIRST OBS
  2017     6    26    11    42    0.0000000     GPS         TIME OF LAST OBS
    18                                                      LEAP SECONDS
     7                                                      # OF SATELLITES
   G 2    38    38    38    38    38                        PRN / # OF OBS
   G 4    38    38    38    38    38                        PRN / # OF OBS
   G 5    36    35    35    36    33                        PRN / # OF OBS
   G12    38    38    38    38    38                        PRN / # OF OBS
   G25    38    38    38    38    38                        PRN / # OF OBS
   G29    38    38    38    38    38                        PRN / # OF OBS
   G31    38    38    38    38    38                        PRN / # OF OBS
                                                            END OF HEADER
  23637582.853    23637581.853   124216400.616 2      2092.078          13.500
  23390557.651    23390556.401   122918218.596 4     -4418.615          27.000
 17  6 26 11 28  0.0000000  0  7G31G 4G29G25G 2G 5G12                0.000057230
  21950654.544    21950653.934   115351464.709 6     -1268.544          38.000
  22741618.592    22741618.532   119508014.379 4      1223.697          29.750
  20298810.128    20298809.828   106670965.990 7       425.412          44.500
  20985603.045    20985602.395   110280092.044 7     -2756.083          43.250
  21930729.201    21930729.141   115246763.219 6     -2336.225          39.000
  23625675.795    23625671.755   124153813.467 1      2080.597          10.750
  23415798.668    23415798.368   123050862.158 4     -4424.200          27.000
 17  6 26 11 28 30.0000000  0  7G31G 4G29G25G 2G 5G12                0.000071672
  21957955.878    21957955.888   115389836.645 6     -1289.401          38.000
  22734683.739    22734683.539   119471569.444 5      1206.074          30.000
  20296427.755    20296427.465   106658446.890 7       409.223          45.000
  21001385.146    21001384.196   110363027.181 7     -2772.796          42.750
  21944110.551    21944109.631   115317078.683 6     -2351.413          39.250
  23613838.109    23613828.659   124091583.297 2      2068.260          12.250
  23441075.780    23441074.520   123183691.289 4     -4430.896          27.500
 17  6 26 11 29  0.0000000  0  7G31G 4G29G25G 2G 5G12                0.000086123
  21965375.232    21965374.722   115428825.134 5     -1309.834          35.750
  22727847.449    22727845.639   119435642.709 5      1188.976          30.000
  20294136.628    20294136.218   106646404.620 7       393.471          45.000
  21017260.757    21017260.027   110446454.474 7     -2789.046          43.250
